site,serial_rate,threatened_hhs
albuquerque,0.26403508771929823,6840
atlanta,0.3768011369848038,91470
boston,0.13162895145966488,5789
bridgeport,0.10223266745005875,10212
charleston,0.34479987140331136,6221
cincinnati,0.20475763016157988,11140
cleveland,0.16433941997851773,4655
columbus,0.26756686574915606,19255
connecticut,0.09800353262324038,18683
dallas,0.21717656743037453,29156
delaware,0.29805527123848513,9770
eugene,0.18084291187739465,1305
fl-jacksonville,0.13119889967142967,13087
fl-tampa,0.1076178219035362,16317
fortlauderdale,0.20429223061392357,13373
fortworth,0.23552544708212533,34837
gainesville,0.0845341018251681,2082
greenville,0.3165942658557776,5755
hartford,0.10223266745005875,10212
houston,0.21050565975378005,48412
indiana,0.19569328972772765,50758
indianapolis,0.2219509488403063,18022
jacksonville,0.1471652593486128,20725
kansascity,0.2145390070921986,19740
lasvegas,0.30852849947354943,35141
littlerock,0.12083249141240655,4949
massachusetts,0.12176765727518332,5182
memphis,0.2673547679941542,21896
miami,0.1562338668043366,15496
milwaukee,0.28603915364840815,10114
minneapolis,0.23492063492063492,2520
minnesota,0.2906877402819308,4682
missouri,0.1963409341301372,29953
nashville,0.2679569892473118,6975
newmexico,0.22146287403029183,10828
neworleans,0.2068864896410855,3427
oklahomacity,0.2637215528781794,11952
oregon,0.14836795252225518,3033
orlando,0.11767925561029008,21924
palmbeach,0.14504808942032754,7694
pennsylvania,0.17844993344179855,13522
philadelphia,0.1619272018199545,12308
phoenix,0.4499644074781762,26691
piercecounty,0.10555174777244689,2918
pittsburgh,0.1619272018199545,12308
portland,0.29183078045222466,13710
providence,0.2224608116813399,4657
rhode_island,0.2241011328189131,6091
southbend,0.2219509488403063,18022
southwest,0.15849595430747265,2101
stlouis,0.2145390070921986,19740
tampa,0.24509044837052155,28414
wilmington,0.2911276822401461,6571
wisconsin,0.20860849608917617,21351
