state,type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
connecticut,County,9001,White,1,2020,316,338.666666666667,2023-04-08
connecticut,County,9001,White,2,2020,270,320.666666666667,2023-04-08
connecticut,County,9001,White,3,2020,291,314.333333333333,2023-04-08
connecticut,County,9001,White,4,2020,27,317,2023-04-08
connecticut,County,9001,White,5,2020,6,339.666666666667,2023-04-08
connecticut,County,9001,White,6,2020,7,352.333333333333,2023-04-08
connecticut,County,9001,White,7,2020,29,384.333333333333,2023-04-08
connecticut,County,9001,White,8,2020,28,370.666666666667,2023-04-08
connecticut,County,9001,White,9,2020,56,344.333333333333,2023-04-08
connecticut,County,9001,White,10,2020,82,379.333333333333,2023-04-08
connecticut,County,9001,White,11,2020,108,322,2023-04-08
connecticut,County,9001,White,12,2020,102,335,2023-04-08
connecticut,County,9001,White,1,2021,129,338.666666666667,2023-04-08
connecticut,County,9001,White,2,2021,96,320.666666666667,2023-04-08
connecticut,County,9001,White,3,2021,190,314.333333333333,2023-04-08
connecticut,County,9001,White,4,2021,159,317,2023-04-08
connecticut,County,9001,White,5,2021,123,339.666666666667,2023-04-08
connecticut,County,9001,White,6,2021,153,352.333333333333,2023-04-08
connecticut,County,9001,White,7,2021,91,384.333333333333,2023-04-08
connecticut,County,9001,White,8,2021,135,370.666666666667,2023-04-08
connecticut,County,9001,White,9,2021,227,344.333333333333,2023-04-08
connecticut,County,9001,White,10,2021,211,379.333333333333,2023-04-08
connecticut,County,9001,White,11,2021,218,322,2023-04-08
connecticut,County,9001,White,12,2021,213,335,2023-04-08
connecticut,County,9001,White,1,2022,253,338.666666666667,2023-04-08
connecticut,County,9001,White,2,2022,232,320.666666666667,2023-04-08
connecticut,County,9001,White,3,2022,528,314.333333333333,2023-04-08
connecticut,County,9001,White,4,2022,426,317,2023-04-08
connecticut,County,9001,White,5,2022,398,339.666666666667,2023-04-08
connecticut,County,9001,White,6,2022,402,352.333333333333,2023-04-08
connecticut,County,9001,White,7,2022,424,384.333333333333,2023-04-08
connecticut,County,9001,White,8,2022,452,370.666666666667,2023-04-08
connecticut,County,9001,White,9,2022,400,344.333333333333,2023-04-08
connecticut,County,9001,White,10,2022,434,379.333333333333,2023-04-08
connecticut,County,9001,White,11,2022,402,322,2023-04-08
connecticut,County,9001,White,12,2022,332,335,2023-04-08
connecticut,County,9001,White,1,2023,357,338.666666666667,2023-04-08
connecticut,County,9001,White,2,2023,366,320.666666666667,2023-04-08
connecticut,County,9001,White,3,2023,347,314.333333333333,2023-04-08
connecticut,County,9001,White,4,2023,88,93.6666666666667,2023-04-08
connecticut,County,9003,White,1,2020,507,527.333333333333,2023-04-08
connecticut,County,9003,White,2,2020,484,481.666666666667,2023-04-08
connecticut,County,9003,White,3,2020,378,430.666666666667,2023-04-08
connecticut,County,9003,White,4,2020,60,392,2023-04-08
connecticut,County,9003,White,5,2020,4,476.333333333333,2023-04-08
connecticut,County,9003,White,6,2020,10,511.666666666667,2023-04-08
connecticut,County,9003,White,7,2020,45,560.333333333333,2023-04-08
connecticut,County,9003,White,8,2020,37,602,2023-04-08
connecticut,County,9003,White,9,2020,40,544.333333333333,2023-04-08
connecticut,County,9003,White,10,2020,100,563.666666666667,2023-04-08
connecticut,County,9003,White,11,2020,154,447.333333333333,2023-04-08
connecticut,County,9003,White,12,2020,148,462.333333333333,2023-04-08
connecticut,County,9003,White,1,2021,147,527.333333333333,2023-04-08
connecticut,County,9003,White,2,2021,179,481.666666666667,2023-04-08
connecticut,County,9003,White,3,2021,243,430.666666666667,2023-04-08
connecticut,County,9003,White,4,2021,210,392,2023-04-08
connecticut,County,9003,White,5,2021,191,476.333333333333,2023-04-08
connecticut,County,9003,White,6,2021,204,511.666666666667,2023-04-08
connecticut,County,9003,White,7,2021,125,560.333333333333,2023-04-08
connecticut,County,9003,White,8,2021,184,602,2023-04-08
connecticut,County,9003,White,9,2021,340,544.333333333333,2023-04-08
connecticut,County,9003,White,10,2021,268,563.666666666667,2023-04-08
connecticut,County,9003,White,11,2021,340,447.333333333333,2023-04-08
connecticut,County,9003,White,12,2021,419,462.333333333333,2023-04-08
connecticut,County,9003,White,1,2022,402,527.333333333333,2023-04-08
connecticut,County,9003,White,2,2022,379,481.666666666667,2023-04-08
connecticut,County,9003,White,3,2022,718,430.666666666667,2023-04-08
connecticut,County,9003,White,4,2022,703,392,2023-04-08
connecticut,County,9003,White,5,2022,626,476.333333333333,2023-04-08
connecticut,County,9003,White,6,2022,681,511.666666666667,2023-04-08
connecticut,County,9003,White,7,2022,563,560.333333333333,2023-04-08
connecticut,County,9003,White,8,2022,644,602,2023-04-08
connecticut,County,9003,White,9,2022,666,544.333333333333,2023-04-08
connecticut,County,9003,White,10,2022,641,563.666666666667,2023-04-08
connecticut,County,9003,White,11,2022,705,447.333333333333,2023-04-08
connecticut,County,9003,White,12,2022,574,462.333333333333,2023-04-08
connecticut,County,9003,White,1,2023,570,527.333333333333,2023-04-08
connecticut,County,9003,White,2,2023,488,481.666666666667,2023-04-08
connecticut,County,9003,White,3,2023,642,430.666666666667,2023-04-08
connecticut,County,9003,White,4,2023,104,115.333333333333,2023-04-08
connecticut,County,9005,White,1,2020,39,49.3333333333333,2023-04-08
connecticut,County,9005,White,2,2020,52,45.3333333333333,2023-04-08
connecticut,County,9005,White,3,2020,36,46.6666666666667,2023-04-08
connecticut,County,9005,White,4,2020,2,43.3333333333333,2023-04-08
connecticut,County,9005,White,5,2020,1,52.6666666666667,2023-04-08
connecticut,County,9005,White,6,2020,0,47.3333333333333,2023-04-08
connecticut,County,9005,White,7,2020,10,45,2023-04-08
connecticut,County,9005,White,8,2020,9,57.3333333333333,2023-04-08
connecticut,County,9005,White,9,2020,13,45.3333333333333,2023-04-08
connecticut,County,9005,White,10,2020,8,49.6666666666667,2023-04-08
connecticut,County,9005,White,11,2020,20,43,2023-04-08
connecticut,County,9005,White,12,2020,22,41,2023-04-08
connecticut,County,9005,White,1,2021,24,49.3333333333333,2023-04-08
connecticut,County,9005,White,2,2021,22,45.3333333333333,2023-04-08
connecticut,County,9005,White,3,2021,34,46.6666666666667,2023-04-08
connecticut,County,9005,White,4,2021,21,43.3333333333333,2023-04-08
connecticut,County,9005,White,5,2021,32,52.6666666666667,2023-04-08
connecticut,County,9005,White,6,2021,33,47.3333333333333,2023-04-08
connecticut,County,9005,White,7,2021,16,45,2023-04-08
