type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,41017000202,White,07/2021,0,2,0.333,
Census Tract,41017000202,White,08/2021,0,0.5,0.333,
Census Tract,41017000202,White,09/2021,0,0.5,0.333,
Census Tract,41017000202,White,10/2021,0,0,0.333,
Census Tract,41017000202,White,11/2021,1,0,0.333,
Census Tract,41017000202,White,12/2021,0,0.5,0.667,
Census Tract,41017000202,White,01/2022,0,0.5,0.333,
Census Tract,41017000202,White,02/2022,0,1,0.5,
Census Tract,41017000202,White,03/2022,0,0.5,0,
Census Tract,41017000202,White,04/2022,0,0,0.5,
Census Tract,41017000202,White,05/2022,1,0,0.333,
Census Tract,41017000202,White,06/2022,0,0.5,0.167,
Census Tract,41017000202,White,07/2022,1,2,0.333,
Census Tract,41017000202,White,08/2022,0,0.5,0.333,
Census Tract,41017000202,White,09/2022,4,0.5,0.333,
Census Tract,41017000202,White,10/2022,2,0,0.333,
Census Tract,41017000202,White,11/2022,1,0,0.333,
Census Tract,41017000202,White,12/2022,1,0.5,0.667,
Census Tract,41017000202,White,01/2023,0,0.5,0.333,
Census Tract,41017000202,White,02/2023,2,1,0.5,
Census Tract,41017000202,White,03/2023,0,0.5,0,
Census Tract,41017000202,White,04/2023,0,0,0.5,
Census Tract,41017000202,White,05/2023,0,0,0.333,
Census Tract,41017000202,White,06/2023,1,0.5,0.167,
Census Tract,41017000202,White,07/2023,2,2,0.333,
Census Tract,41017000202,White,08/2023,1,0.5,0.333,
Census Tract,41017000202,White,09/2023,1,0.5,0.333,
Census Tract,41017000202,White,10/2023,0,0,0.333,
Census Tract,41017000202,White,11/2023,0,0,0.333,
Census Tract,41017000202,White,12/2023,0,0.5,0.667,
Census Tract,41017000202,White,01/2024,1,0.5,0.333,
Census Tract,41017000202,White,02/2024,0,1,0.5,
Census Tract,41017000202,White,03/2024,1,0.5,0,
Census Tract,41017000202,White,04/2024,0,0,0.5,
Census Tract,41017000202,White,05/2024,0,0,0.333,
Census Tract,41017000202,White,06/2024,0,0.5,0.167,
Census Tract,41017000202,White,07/2024,2,2,0.333,
Census Tract,41017000202,White,08/2024,0,0.5,0.333,
Census Tract,41017000202,White,09/2024,0,0.5,0.333,
Census Tract,41017000202,White,10/2024,0,0,0.333,
Census Tract,41017000202,White,11/2024,0,0,0.333,
Census Tract,41017000202,White,12/2024,1,0.5,0.667,
Census Tract,41017000202,White,01/2025,2,0.5,0.333,
Census Tract,41017000202,White,02/2025,1,1,0.5,
Census Tract,41017000202,White,03/2025,0,0.5,0,
Census Tract,41017000202,White,04/2025,1,0,0.5,
Census Tract,41017000202,White,05/2025,0,0,0.333,
Census Tract,41017000202,White,06/2025,1,0.5,0.167,
Census Tract,41017000202,White,07/2025,1,2,0.333,
Census Tract,41017000202,White,08/2025,1,0.5,0.333,
Census Tract,41017000202,White,09/2025,0,0.5,0.333,
Census Tract,41017000202,White,10/2025,0,0,0.333,
Census Tract,41017000202,White,11/2025,0,0,0.333,
Census Tract,41017000202,White,12/2025,0,0.5,0,2025-12-06
Census Tract,41017000301,White,01/2020,2,0,0.5,
Census Tract,41017000301,White,02/2020,1,0.5,0.333,
Census Tract,41017000301,White,03/2020,0,0.5,0.667,
Census Tract,41017000301,White,04/2020,0,0,0.5,
Census Tract,41017000301,White,05/2020,1,0,0.5,
Census Tract,41017000301,White,06/2020,1,1.5,0.5,
Census Tract,41017000301,White,07/2020,0,1,0.5,
Census Tract,41017000301,White,08/2020,0,0,0.5,
Census Tract,41017000301,White,09/2020,1,0,0.5,
Census Tract,41017000301,White,10/2020,0,0.5,0.5,
Census Tract,41017000301,White,11/2020,0,0.5,0.333,
Census Tract,41017000301,White,12/2020,0,0,0,
Census Tract,41017000301,White,01/2021,1,0,0.5,
Census Tract,41017000301,White,02/2021,1,0.5,0.333,
Census Tract,41017000301,White,03/2021,0,0.5,0.667,
Census Tract,41017000301,White,04/2021,0,0,0.5,
Census Tract,41017000301,White,05/2021,2,0,0.5,
Census Tract,41017000301,White,06/2021,0,1.5,0.5,
Census Tract,41017000301,White,07/2021,0,1,0.5,
Census Tract,41017000301,White,08/2021,0,0,0.5,
Census Tract,41017000301,White,09/2021,0,0,0.5,
Census Tract,41017000301,White,10/2021,0,0.5,0.5,
Census Tract,41017000301,White,11/2021,0,0.5,0.333,
Census Tract,41017000301,White,12/2021,0,0,0,
Census Tract,41017000301,White,01/2022,0,0,0.5,
Census Tract,41017000301,White,02/2022,1,0.5,0.333,
Census Tract,41017000301,White,03/2022,2,0.5,0.667,
Census Tract,41017000301,White,04/2022,2,0,0.5,
Census Tract,41017000301,White,05/2022,0,0,0.5,
Census Tract,41017000301,White,06/2022,0,1.5,0.5,
Census Tract,41017000301,White,07/2022,0,1,0.5,
Census Tract,41017000301,White,08/2022,0,0,0.5,
Census Tract,41017000301,White,09/2022,1,0,0.5,
Census Tract,41017000301,White,10/2022,0,0.5,0.5,
Census Tract,41017000301,White,11/2022,1,0.5,0.333,
Census Tract,41017000301,White,12/2022,0,0,0,
Census Tract,41017000301,White,01/2023,0,0,0.5,
Census Tract,41017000301,White,02/2023,1,0.5,0.333,
Census Tract,41017000301,White,03/2023,1,0.5,0.667,
Census Tract,41017000301,White,04/2023,0,0,0.5,
Census Tract,41017000301,White,05/2023,0,0,0.5,
Census Tract,41017000301,White,06/2023,3,1.5,0.5,
Census Tract,41017000301,White,07/2023,0,1,0.5,
Census Tract,41017000301,White,08/2023,0,0,0.5,
Census Tract,41017000301,White,09/2023,0,0,0.5,
Census Tract,41017000301,White,10/2023,0,0.5,0.5,
Census Tract,41017000301,White,11/2023,0,0.5,0.333,
Census Tract,41017000301,White,12/2023,0,0,0,
Census Tract,41017000301,White,01/2024,0,0,0.5,
Census Tract,41017000301,White,02/2024,0,0.5,0.333,
Census Tract,41017000301,White,03/2024,0,0.5,0.667,
Census Tract,41017000301,White,04/2024,0,0,0.5,
Census Tract,41017000301,White,05/2024,0,0,0.5,
Census Tract,41017000301,White,06/2024,0,1.5,0.5,
Census Tract,41017000301,White,07/2024,2,1,0.5,
Census Tract,41017000301,White,08/2024,0,0,0.5,
Census Tract,41017000301,White,09/2024,0,0,0.5,
Census Tract,41017000301,White,10/2024,1,0.5,0.5,
Census Tract,41017000301,White,11/2024,1,0.5,0.333,
Census Tract,41017000301,White,12/2024,0,0,0,
Census Tract,41017000301,White,01/2025,3,0,0.5,
Census Tract,41017000301,White,02/2025,1,0.5,0.333,
Census Tract,41017000301,White,03/2025,0,0.5,0.667,
Census Tract,41017000301,White,04/2025,0,0,0.5,
Census Tract,41017000301,White,05/2025,0,0,0.5,
Census Tract,41017000301,White,06/2025,1,1.5,0.5,
Census Tract,41017000301,White,07/2025,2,1,0.5,
Census Tract,41017000301,White,08/2025,1,0,0.5,
Census Tract,41017000301,White,09/2025,0,0,0.5,
Census Tract,41017000301,White,10/2025,1,0.5,0.5,
Census Tract,41017000301,White,11/2025,2,0.5,0.333,
Census Tract,41017000301,White,12/2025,1,0,0,2025-12-06
Census Tract,41017000302,White,01/2020,0,1,1,
Census Tract,41017000302,White,02/2020,2,1,0.833,
Census Tract,41017000302,White,03/2020,2,0,1.333,
Census Tract,41017000302,White,04/2020,0,2.5,0.167,
Census Tract,41017000302,White,05/2020,0,0,0.833,
Census Tract,41017000302,White,06/2020,0,1,0.333,
Census Tract,41017000302,White,07/2020,0,0.5,1.167,
Census Tract,41017000302,White,08/2020,1,0.5,1,
Census Tract,41017000302,White,09/2020,0,0,0.667,
Census Tract,41017000302,White,10/2020,0,0.5,0.833,
Census Tract,41017000302,White,11/2020,1,0.5,1.167,
Census Tract,41017000302,White,12/2020,0,0,0.667,
Census Tract,41017000302,White,01/2021,0,1,1,
Census Tract,41017000302,White,02/2021,1,0,0.833,
Census Tract,41017000302,White,03/2021,0,0,1.333,
Census Tract,41017000302,White,04/2021,0,2.5,0.167,
Census Tract,41017000302,White,05/2021,0,0,0.833,
Census Tract,41017000302,White,06/2021,2,1,0.333,
Census Tract,41017000302,White,07/2021,0,0.5,1.167,
Census Tract,41017000302,White,08/2021,1,0.5,1,
Census Tract,41017000302,White,09/2021,0,0,0.667,
Census Tract,41017000302,White,10/2021,2,0.5,0.833,
Census Tract,41017000302,White,11/2021,0,0.5,1.167,
Census Tract,41017000302,White,12/2021,0,0,0.667,
Census Tract,41017000302,White,01/2022,0,1,1,
Census Tract,41017000302,White,02/2022,1,0,0.833,
Census Tract,41017000302,White,03/2022,1,0,1.333,
Census Tract,41017000302,White,04/2022,2,2.5,0.167,
Census Tract,41017000302,White,05/2022,1,0,0.833,
Census Tract,41017000302,White,06/2022,2,1,0.333,
Census Tract,41017000302,White,07/2022,0,0.5,1.167,
Census Tract,41017000302,White,08/2022,1,0.5,1,
Census Tract,41017000302,White,09/2022,0,0,0.667,
Census Tract,41017000302,White,10/2022,2,0.5,0.833,
Census Tract,41017000302,White,11/2022,1,0.5,1.167,
Census Tract,41017000302,White,12/2022,0,0,0.667,
Census Tract,41017000302,White,01/2023,0,1,1,
Census Tract,41017000302,White,02/2023,0,0,0.833,
Census Tract,41017000302,White,03/2023,0,0,1.333,
Census Tract,41017000302,White,04/2023,1,2.5,0.167,
Census Tract,41017000302,White,05/2023,0,0,0.833,
Census Tract,41017000302,White,06/2023,1,1,0.333,
Census Tract,41017000302,White,07/2023,1,0.5,1.167,
Census Tract,41017000302,White,08/2023,0,0.5,1,
Census Tract,41017000302,White,09/2023,0,0,0.667,
Census Tract,41017000302,White,10/2023,1,0.5,0.833,
Census Tract,41017000302,White,11/2023,1,0.5,1.167,
Census Tract,41017000302,White,12/2023,0,0,0.667,
Census Tract,41017000302,White,01/2024,2,1,1,
Census Tract,41017000302,White,02/2024,2,1,0.833,
Census Tract,41017000302,White,03/2024,0,0,1.333,
Census Tract,41017000302,White,04/2024,4,2.5,0.167,
Census Tract,41017000302,White,05/2024,0,0,0.833,
Census Tract,41017000302,White,06/2024,1,1,0.333,
Census Tract,41017000302,White,07/2024,0,0.5,1.167,
Census Tract,41017000302,White,08/2024,1,0.5,1,
Census Tract,41017000302,White,09/2024,0,0,0.667,
Census Tract,41017000302,White,10/2024,0,0.5,0.833,
Census Tract,41017000302,White,11/2024,0,0.5,1.167,
Census Tract,41017000302,White,12/2024,0,0,0.667,
Census Tract,41017000302,White,01/2025,1,1,1,
Census Tract,41017000302,White,02/2025,0,0,0.833,
Census Tract,41017000302,White,03/2025,0,0,1.333,
Census Tract,41017000302,White,04/2025,0,2.5,0.167,
Census Tract,41017000302,White,05/2025,0,0,0.833,
Census Tract,41017000302,White,06/2025,3,1,0.333,
Census Tract,41017000302,White,07/2025,1,0.5,1.167,
Census Tract,41017000302,White,08/2025,0,0.5,1,
Census Tract,41017000302,White,09/2025,0,0,0.667,
Census Tract,41017000302,White,10/2025,2,0.5,0.833,
Census Tract,41017000302,White,11/2025,1,0.5,1.167,
Census Tract,41017000302,White,12/2025,0,0,0,2025-12-06
Census Tract,41017000401,White,01/2020,0,0.5,0.667,
Census Tract,41017000401,White,02/2020,1,0,0.5,
Census Tract,41017000401,White,03/2020,0,0,0.5,
Census Tract,41017000401,White,04/2020,1,0.5,0.833,
Census Tract,41017000401,White,05/2020,0,0.5,0.5,
Census Tract,41017000401,White,06/2020,0,1,0.5,
Census Tract,41017000401,White,07/2020,1,1.5,0.833,
Census Tract,41017000401,White,08/2020,0,0.5,0.5,
Census Tract,41017000401,White,09/2020,0,2,0.5,
Census Tract,41017000401,White,10/2020,0,0,0.667,
Census Tract,41017000401,White,11/2020,0,0.5,0.833,
Census Tract,41017000401,White,12/2020,0,0.5,0.167,
Census Tract,41017000401,White,01/2021,1,0.5,0.667,
Census Tract,41017000401,White,02/2021,2,0,0.5,
Census Tract,41017000401,White,03/2021,0,0,0.5,
Census Tract,41017000401,White,04/2021,0,0.5,0.833,
Census Tract,41017000401,White,05/2021,2,0.5,0.5,
Census Tract,41017000401,White,06/2021,2,1,0.5,
Census Tract,41017000401,White,07/2021,0,1.5,0.833,
Census Tract,41017000401,White,08/2021,0,0.5,0.5,
Census Tract,41017000401,White,09/2021,1,2,0.5,
Census Tract,41017000401,White,10/2021,2,0,0.667,
Census Tract,41017000401,White,11/2021,2,0.5,0.833,
Census Tract,41017000401,White,12/2021,0,0.5,0.167,
Census Tract,41017000401,White,01/2022,0,0.5,0.667,
Census Tract,41017000401,White,02/2022,0,0,0.5,
Census Tract,41017000401,White,03/2022,1,0,0.5,
Census Tract,41017000401,White,04/2022,0,0.5,0.833,
Census Tract,41017000401,White,05/2022,0,0.5,0.5,
Census Tract,41017000401,White,06/2022,0,1,0.5,
Census Tract,41017000401,White,07/2022,0,1.5,0.833,
Census Tract,41017000401,White,08/2022,0,0.5,0.5,
Census Tract,41017000401,White,09/2022,0,2,0.5,
Census Tract,41017000401,White,10/2022,0,0,0.667,
Census Tract,41017000401,White,11/2022,1,0.5,0.833,
Census Tract,41017000401,White,12/2022,2,0.5,0.167,
Census Tract,41017000401,White,01/2023,0,0.5,0.667,
Census Tract,41017000401,White,02/2023,0,0,0.5,
Census Tract,41017000401,White,03/2023,0,0,0.5,
Census Tract,41017000401,White,04/2023,0,0.5,0.833,
Census Tract,41017000401,White,05/2023,1,0.5,0.5,
Census Tract,41017000401,White,06/2023,2,1,0.5,
Census Tract,41017000401,White,07/2023,1,1.5,0.833,
Census Tract,41017000401,White,08/2023,1,0.5,0.5,
Census Tract,41017000401,White,09/2023,2,2,0.5,
Census Tract,41017000401,White,10/2023,0,0,0.667,
Census Tract,41017000401,White,11/2023,0,0.5,0.833,
Census Tract,41017000401,White,12/2023,1,0.5,0.167,
Census Tract,41017000401,White,01/2024,1,0.5,0.667,
Census Tract,41017000401,White,02/2024,0,0,0.5,
Census Tract,41017000401,White,03/2024,0,0,0.5,
Census Tract,41017000401,White,04/2024,1,0.5,0.833,
Census Tract,41017000401,White,05/2024,0,0.5,0.5,
Census Tract,41017000401,White,06/2024,0,1,0.5,
Census Tract,41017000401,White,07/2024,2,1.5,0.833,
Census Tract,41017000401,White,08/2024,0,0.5,0.5,
Census Tract,41017000401,White,09/2024,2,2,0.5,
Census Tract,41017000401,White,10/2024,0,0,0.667,
Census Tract,41017000401,White,11/2024,1,0.5,0.833,
Census Tract,41017000401,White,12/2024,0,0.5,0.167,
Census Tract,41017000401,White,01/2025,0,0.5,0.667,
Census Tract,41017000401,White,02/2025,1,0,0.5,
Census Tract,41017000401,White,03/2025,0,0,0.5,
Census Tract,41017000401,White,04/2025,1,0.5,0.833,
Census Tract,41017000401,White,05/2025,1,0.5,0.5,
Census Tract,41017000401,White,06/2025,0,1,0.5,
Census Tract,41017000401,White,07/2025,1,1.5,0.833,
Census Tract,41017000401,White,08/2025,0,0.5,0.5,
Census Tract,41017000401,White,09/2025,1,2,0.5,
Census Tract,41017000401,White,10/2025,0,0,0.667,
Census Tract,41017000401,White,11/2025,1,0.5,0.833,
Census Tract,41017000401,White,12/2025,0,0.5,0.167,2025-12-06
Census Tract,41017000403,White,01/2020,0,0,0.167,
Census Tract,41017000403,White,02/2020,0,0,0.167,
Census Tract,41017000403,White,03/2020,0,0,0,
Census Tract,41017000403,White,04/2020,0,0,0,
Census Tract,41017000403,White,05/2020,0,0,0.167,
Census Tract,41017000403,White,06/2020,0,0,0,
Census Tract,41017000403,White,07/2020,0,0.5,0,
Census Tract,41017000403,White,08/2020,0,0,0,
Census Tract,41017000403,White,09/2020,0,0,0,
Census Tract,41017000403,White,10/2020,0,0,0,
Census Tract,41017000403,White,11/2020,0,0,0,
Census Tract,41017000403,White,12/2020,0,0,0,
Census Tract,41017000403,White,01/2021,0,0,0.167,
Census Tract,41017000403,White,02/2021,0,0,0.167,
Census Tract,41017000403,White,03/2021,0,0,0,
Census Tract,41017000403,White,04/2021,0,0,0,
Census Tract,41017000403,White,05/2021,0,0,0.167,
Census Tract,41017000403,White,06/2021,0,0,0,
Census Tract,41017000403,White,07/2021,0,0.5,0,
Census Tract,41017000403,White,08/2021,0,0,0,
Census Tract,41017000403,White,09/2021,0,0,0,
Census Tract,41017000403,White,10/2021,0,0,0,
Census Tract,41017000403,White,11/2021,0,0,0,
Census Tract,41017000403,White,12/2021,0,0,0,
Census Tract,41017000403,White,01/2022,0,0,0.167,
Census Tract,41017000403,White,02/2022,0,0,0.167,
Census Tract,41017000403,White,03/2022,0,0,0,
Census Tract,41017000403,White,04/2022,0,0,0,
Census Tract,41017000403,White,05/2022,0,0,0.167,
Census Tract,41017000403,White,06/2022,0,0,0,
Census Tract,41017000403,White,07/2022,0,0.5,0,
Census Tract,41017000403,White,08/2022,0,0,0,
Census Tract,41017000403,White,09/2022,0,0,0,
Census Tract,41017000403,White,10/2022,0,0,0,
Census Tract,41017000403,White,11/2022,0,0,0,
Census Tract,41017000403,White,12/2022,0,0,0,
Census Tract,41017000403,White,01/2023,0,0,0.167,
Census Tract,41017000403,White,02/2023,0,0,0.167,
Census Tract,41017000403,White,03/2023,0,0,0,
Census Tract,41017000403,White,04/2023,0,0,0,
Census Tract,41017000403,White,05/2023,0,0,0.167,
Census Tract,41017000403,White,06/2023,0,0,0,
Census Tract,41017000403,White,07/2023,1,0.5,0,
Census Tract,41017000403,White,08/2023,0,0,0,
Census Tract,41017000403,White,09/2023,0,0,0,
Census Tract,41017000403,White,10/2023,0,0,0,
Census Tract,41017000403,White,11/2023,0,0,0,
Census Tract,41017000403,White,12/2023,0,0,0,
Census Tract,41017000403,White,01/2024,0,0,0.167,
Census Tract,41017000403,White,02/2024,0,0,0.167,
Census Tract,41017000403,White,03/2024,0,0,0,
Census Tract,41017000403,White,04/2024,0,0,0,
Census Tract,41017000403,White,05/2024,0,0,0.167,
Census Tract,41017000403,White,06/2024,0,0,0,
Census Tract,41017000403,White,07/2024,0,0.5,0,
Census Tract,41017000403,White,08/2024,0,0,0,
Census Tract,41017000403,White,09/2024,0,0,0,
Census Tract,41017000403,White,10/2024,0,0,0,
Census Tract,41017000403,White,11/2024,0,0,0,
Census Tract,41017000403,White,12/2024,0,0,0,
Census Tract,41017000403,White,01/2025,0,0,0.167,
Census Tract,41017000403,White,02/2025,0,0,0.167,
Census Tract,41017000403,White,03/2025,0,0,0,
Census Tract,41017000403,White,04/2025,0,0,0,
Census Tract,41017000403,White,05/2025,0,0,0.167,
Census Tract,41017000403,White,06/2025,0,0,0,
Census Tract,41017000403,White,07/2025,0,0.5,0,
Census Tract,41017000403,White,08/2025,0,0,0,
Census Tract,41017000403,White,09/2025,0,0,0,
Census Tract,41017000403,White,10/2025,0,0,0,
Census Tract,41017000403,White,11/2025,0,0,0,
Census Tract,41017000403,White,12/2025,0,0,0,2025-12-06
Census Tract,41017000404,White,01/2020,0,0,0,
Census Tract,41017000404,White,02/2020,0,0,0.167,
