type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,29001950100,01/2020,0,0,0.25,NA
Census Tract,29001950100,02/2020,0,0,0.25,NA
Census Tract,29001950100,03/2020,0,0.5,0.75,NA
Census Tract,29001950100,04/2020,0,0,0,NA
Census Tract,29001950100,05/2020,1,0.5,0.25,NA
Census Tract,29001950100,06/2020,0,0,0.25,NA
Census Tract,29001950100,07/2020,0,0,0.25,NA
Census Tract,29001950100,08/2020,0,0,0.25,NA
Census Tract,29001950100,09/2020,0,0,0.5,NA
Census Tract,29001950100,10/2020,0,0,0,NA
Census Tract,29001950100,11/2020,0,0,0,NA
Census Tract,29001950100,12/2020,0,0,0,NA
Census Tract,29001950100,01/2021,0,0,0.25,NA
Census Tract,29001950100,02/2021,0,0,0.25,NA
Census Tract,29001950100,03/2021,0,0.5,0.75,NA
Census Tract,29001950100,04/2021,1,0,0,NA
Census Tract,29001950100,05/2021,0,0.5,0.25,NA
Census Tract,29001950100,06/2021,0,0,0.25,NA
Census Tract,29001950100,07/2021,1,0,0.25,NA
Census Tract,29001950100,08/2021,0,0,0.25,NA
Census Tract,29001950100,09/2021,0,0,0.5,NA
Census Tract,29001950100,10/2021,0,0,0,NA
Census Tract,29001950100,11/2021,0,0,0,NA
Census Tract,29001950100,12/2021,0,0,0,NA
Census Tract,29001950100,01/2022,0,0,0.25,NA
Census Tract,29001950100,02/2022,0,0,0.25,NA
Census Tract,29001950100,03/2022,0,0.5,0.75,NA
Census Tract,29001950100,04/2022,0,0,0,NA
Census Tract,29001950100,05/2022,0,0.5,0.25,NA
Census Tract,29001950100,06/2022,0,0,0.25,NA
Census Tract,29001950100,07/2022,0,0,0.25,NA
Census Tract,29001950100,08/2022,0,0,0.25,NA
Census Tract,29001950100,09/2022,0,0,0.5,NA
Census Tract,29001950100,10/2022,0,0,0,NA
Census Tract,29001950100,11/2022,0,0,0,NA
Census Tract,29001950100,12/2022,0,0,0,NA
Census Tract,29001950100,01/2023,0,0,0.25,NA
Census Tract,29001950100,02/2023,0,0,0.25,NA
Census Tract,29001950100,03/2023,0,0.5,0.75,NA
Census Tract,29001950100,04/2023,0,0,0,NA
Census Tract,29001950100,05/2023,0,0.5,0.25,NA
Census Tract,29001950100,06/2023,0,0,0.25,NA
Census Tract,29001950100,07/2023,0,0,0.25,NA
Census Tract,29001950100,08/2023,0,0,0.25,NA
Census Tract,29001950100,09/2023,0,0,0.5,NA
Census Tract,29001950100,10/2023,0,0,0,NA
Census Tract,29001950100,11/2023,0,0,0,NA
Census Tract,29001950100,12/2023,0,0,0,NA
Census Tract,29001950100,01/2024,0,0,0.25,NA
Census Tract,29001950100,02/2024,0,0,0.25,NA
Census Tract,29001950100,03/2024,1,0.5,0.75,NA
Census Tract,29001950100,04/2024,0,0,0,NA
Census Tract,29001950100,05/2024,0,0.5,0.25,NA
Census Tract,29001950100,06/2024,0,0,0.25,NA
Census Tract,29001950100,07/2024,0,0,0.25,NA
Census Tract,29001950100,08/2024,0,0,0.25,NA
Census Tract,29001950100,09/2024,0,0,0.5,NA
Census Tract,29001950100,10/2024,0,0,0,NA
Census Tract,29001950100,11/2024,0,0,0,NA
Census Tract,29001950100,12/2024,0,0,0,NA
Census Tract,29001950100,01/2025,0,0,0.25,NA
Census Tract,29001950100,02/2025,0,0,0.25,NA
Census Tract,29001950100,03/2025,0,0.5,0.75,NA
Census Tract,29001950100,04/2025,0,0,0,NA
Census Tract,29001950100,05/2025,0,0.5,0.25,NA
Census Tract,29001950100,06/2025,0,0,0.25,NA
Census Tract,29001950100,07/2025,0,0,0.25,NA
Census Tract,29001950100,08/2025,0,0,0.25,NA
Census Tract,29001950100,09/2025,0,0,0.5,NA
Census Tract,29001950100,10/2025,0,0,0,NA
Census Tract,29001950100,11/2025,0,0,0,NA
Census Tract,29001950100,12/2025,0,0,0,NA
Census Tract,29001950100,01/2026,1,0,,NA
Census Tract,29001950100,02/2026,0,0,,NA
Census Tract,29001950100,03/2026,0,0,,07/03/2026
Census Tract,29001950200,01/2020,0,0.5,0.25,NA
Census Tract,29001950200,02/2020,0,0,0.25,NA
Census Tract,29001950200,03/2020,0,0.5,0.25,NA
Census Tract,29001950200,04/2020,0,0,0.25,NA
Census Tract,29001950200,05/2020,0,0,0.75,NA
Census Tract,29001950200,06/2020,0,0,0.25,NA
Census Tract,29001950200,07/2020,0,0,0.25,NA
Census Tract,29001950200,08/2020,0,0,0.5,NA
Census Tract,29001950200,09/2020,1,0,0,NA
Census Tract,29001950200,10/2020,0,0,0,NA
Census Tract,29001950200,11/2020,0,0.5,0,NA
Census Tract,29001950200,12/2020,0,0,0.5,NA
Census Tract,29001950200,01/2021,0,0.5,0.25,NA
Census Tract,29001950200,02/2021,0,0,0.25,NA
Census Tract,29001950200,03/2021,0,0.5,0.25,NA
Census Tract,29001950200,04/2021,0,0,0.25,NA
Census Tract,29001950200,05/2021,0,0,0.75,NA
Census Tract,29001950200,06/2021,0,0,0.25,NA
Census Tract,29001950200,07/2021,0,0,0.25,NA
Census Tract,29001950200,08/2021,0,0,0.5,NA
Census Tract,29001950200,09/2021,1,0,0,NA
Census Tract,29001950200,10/2021,0,0,0,NA
Census Tract,29001950200,11/2021,0,0.5,0,NA
Census Tract,29001950200,12/2021,1,0,0.5,NA
Census Tract,29001950200,01/2022,0,0.5,0.25,NA
Census Tract,29001950200,02/2022,0,0,0.25,NA
Census Tract,29001950200,03/2022,0,0.5,0.25,NA
Census Tract,29001950200,04/2022,0,0,0.25,NA
Census Tract,29001950200,05/2022,2,0,0.75,NA
Census Tract,29001950200,06/2022,0,0,0.25,NA
Census Tract,29001950200,07/2022,0,0,0.25,NA
Census Tract,29001950200,08/2022,0,0,0.5,NA
Census Tract,29001950200,09/2022,0,0,0,NA
Census Tract,29001950200,10/2022,1,0,0,NA
Census Tract,29001950200,11/2022,0,0.5,0,NA
Census Tract,29001950200,12/2022,0,0,0.5,NA
Census Tract,29001950200,01/2023,1,0.5,0.25,NA
Census Tract,29001950200,02/2023,0,0,0.25,NA
Census Tract,29001950200,03/2023,0,0.5,0.25,NA
Census Tract,29001950200,04/2023,0,0,0.25,NA
Census Tract,29001950200,05/2023,0,0,0.75,NA
Census Tract,29001950200,06/2023,0,0,0.25,NA
Census Tract,29001950200,07/2023,0,0,0.25,NA
Census Tract,29001950200,08/2023,0,0,0.5,NA
Census Tract,29001950200,09/2023,0,0,0,NA
Census Tract,29001950200,10/2023,0,0,0,NA
Census Tract,29001950200,11/2023,1,0.5,0,NA
Census Tract,29001950200,12/2023,0,0,0.5,NA
Census Tract,29001950200,01/2024,0,0.5,0.25,NA
Census Tract,29001950200,02/2024,0,0,0.25,NA
Census Tract,29001950200,03/2024,0,0.5,0.25,NA
Census Tract,29001950200,04/2024,0,0,0.25,NA
Census Tract,29001950200,05/2024,0,0,0.75,NA
Census Tract,29001950200,06/2024,0,0,0.25,NA
Census Tract,29001950200,07/2024,0,0,0.25,NA
Census Tract,29001950200,08/2024,0,0,0.5,NA
Census Tract,29001950200,09/2024,0,0,0,NA
Census Tract,29001950200,10/2024,0,0,0,NA
Census Tract,29001950200,11/2024,0,0.5,0,NA
Census Tract,29001950200,12/2024,0,0,0.5,NA
Census Tract,29001950200,01/2025,0,0.5,0.25,NA
Census Tract,29001950200,02/2025,0,0,0.25,NA
Census Tract,29001950200,03/2025,0,0.5,0.25,NA
Census Tract,29001950200,04/2025,1,0,0.25,NA
Census Tract,29001950200,05/2025,0,0,0.75,NA
Census Tract,29001950200,06/2025,0,0,0.25,NA
Census Tract,29001950200,07/2025,0,0,0.25,NA
Census Tract,29001950200,08/2025,0,0,0.5,NA
Census Tract,29001950200,09/2025,0,0,0,NA
Census Tract,29001950200,10/2025,0,0,0,NA
Census Tract,29001950200,11/2025,0,0.5,0,NA
Census Tract,29001950200,12/2025,0,0,0.5,NA
Census Tract,29001950200,01/2026,1,0.5,,NA
Census Tract,29001950200,02/2026,1,0,,NA
Census Tract,29001950200,03/2026,0,0.5,,07/03/2026
Census Tract,29001950300,01/2020,2,0.5,1.75,NA
Census Tract,29001950300,02/2020,0,2,0.75,NA
Census Tract,29001950300,03/2020,3,3,1.25,NA
