position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-01-01,2025-12-31,RIVER VALLEY COMMUNITIES,320 BLACKHAWK  TRL,458,0.161,33.465063377966,-84.370491413572
2,2025-01-01,2025-12-31,THE LEGACY AT DRUID HILLS,1489 DRUID VALLEY NE DR,381,0.161,33.823648488067,-84.330812741225
3,2025-01-01,2025-12-31,RESERVE AT STONECREEK LLC ASDEN MANAGEMENT LLC,1103 TREEHILLS  PKWY,352,0.161,33.754580935349,-84.193330837504
4,2025-01-01,2025-12-31,THE PARK AT EAST PONCE,1900 TREE MOUNTAIN  PKWY,347,0.161,33.820860122247,-84.178403925234
5,2025-01-01,2025-12-31,EAST PERIMETER POINTE,6512 TREECREST  PKWY,340,0.161,33.71566074142,-84.190655417829
6,2025-01-01,2025-12-31,VESTA BOULDERCREST,26 BOULDERCREST SE LN,330,0.161,33.686848955083,-84.312842192274
7,2025-01-01,2025-12-31,SMP LAKEVIEW SPE LLC ACENTO REAL ESTATE PARTNERS,1401 N HAIRSTON  RD,328,0.161,33.819025994194,-84.189825022682
8,2025-01-01,2025-12-31,THE PARK AT GALAWAY,3129 CANDLEWOOD  DR,328,0.161,33.644286991863,-84.49162701354
9,2025-01-01,2025-12-31,CREEKSIDE CORNERS OWNER LLC CREEKSIDE CORNERS,16106 TURNBERRY  PL,298,0.161,33.697031978358,-84.168036111858
10,2025-01-01,2025-12-31,ELEVATE AT JACKSON CREEK APARTMENTS,3244 SUNRISE VILLAGE  LN,292,0.161,33.884060049376,-84.197228757756
11,2025-01-01,2025-12-31,REDWOOD RIDGE,228 MORROW  RD,291,0.161,33.596962305529,-84.381708998411
12,2025-01-01,2025-12-31,FB GARDENS AT CAMP CREEK LLC,4555 WASHINGTON  RD,289,0.161,33.631866981104,-84.494268989421
13,2025-01-01,2025-12-31,ELLIOT NORCROSS,1355 GRAVES  RD,280,0.161,33.897387736429,-84.213753931324
14,2025-01-01,2025-12-31,RAM PARTNERS LLC AAF SUTTER LAKE,8104 WEBB  RD,280,0.161,33.534498854324,-84.408347943988
