type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Census Tract,18097310103,White,1,2019-12-29,1,0
Census Tract,18097310103,White,2,2020-01-05,1,0.25
Census Tract,18097310103,White,3,2020-01-12,0,0.5
Census Tract,18097310103,White,4,2020-01-19,0,0
Census Tract,18097310103,White,5,2020-01-26,0,0
Census Tract,18097310103,White,6,2020-02-02,0,0
Census Tract,18097310103,White,7,2020-02-09,0,0
Census Tract,18097310103,White,8,2020-02-16,0,0
Census Tract,18097310103,White,9,2020-02-23,1,0.75
Census Tract,18097310103,White,10,2020-03-01,0,0
Census Tract,18097310103,White,11,2020-03-08,0,0.5
Census Tract,18097310103,White,12,2020-03-15,0,0.75
Census Tract,18097310103,White,13,2020-03-22,0,0.5
Census Tract,18097310103,White,14,2020-03-29,0,0.25
Census Tract,18097310103,White,15,2020-04-05,0,0.25
Census Tract,18097310103,White,16,2020-04-12,0,0.25
Census Tract,18097310103,White,17,2020-04-19,0,0.5
Census Tract,18097310103,White,18,2020-04-26,0,0.5
Census Tract,18097310103,White,19,2020-05-03,0,0.25
Census Tract,18097310103,White,20,2020-05-10,0,0.5
Census Tract,18097310103,White,21,2020-05-17,0,1.25
Census Tract,18097310103,White,22,2020-05-24,0,0
Census Tract,18097310103,White,23,2020-05-31,0,0.25
Census Tract,18097310103,White,24,2020-06-07,0,0.25
Census Tract,18097310103,White,25,2020-06-14,0,0
Census Tract,18097310103,White,26,2020-06-21,0,0.75
Census Tract,18097310103,White,27,2020-06-28,0,0
Census Tract,18097310103,White,28,2020-07-05,0,0
Census Tract,18097310103,White,29,2020-07-12,0,0.25
Census Tract,18097310103,White,30,2020-07-19,0,0.25
Census Tract,18097310103,White,31,2020-07-26,0,0
Census Tract,18097310103,White,32,2020-08-02,0,0.25
Census Tract,18097310103,White,33,2020-08-09,0,0
Census Tract,18097310103,White,34,2020-08-16,0,0.5
Census Tract,18097310103,White,35,2020-08-23,1,0
Census Tract,18097310103,White,36,2020-08-30,0,0.25
Census Tract,18097310103,White,37,2020-09-06,0,0
Census Tract,18097310103,White,38,2020-09-13,0,0
Census Tract,18097310103,White,39,2020-09-20,0,0
Census Tract,18097310103,White,40,2020-09-27,0,0.5
Census Tract,18097310103,White,41,2020-10-04,0,0.25
Census Tract,18097310103,White,42,2020-10-11,0,0.5
Census Tract,18097310103,White,43,2020-10-18,0,0.25
Census Tract,18097310104,White,1,2019-12-29,0,0
Census Tract,18097310104,White,2,2020-01-05,1,0
Census Tract,18097310104,White,3,2020-01-12,2,2.75
Census Tract,18097310104,White,4,2020-01-19,0,0.75
Census Tract,18097310104,White,5,2020-01-26,1,0
Census Tract,18097310104,White,6,2020-02-02,0,0
Census Tract,18097310104,White,7,2020-02-09,4,2.75
Census Tract,18097310104,White,8,2020-02-16,5,0.5
Census Tract,18097310104,White,9,2020-02-23,0,0.5
Census Tract,18097310104,White,10,2020-03-01,0,0
Census Tract,18097310104,White,11,2020-03-08,5,1.25
Census Tract,18097310104,White,12,2020-03-15,2,2.25
Census Tract,18097310104,White,13,2020-03-22,0,0.75
Census Tract,18097310104,White,14,2020-03-29,0,0
Census Tract,18097310104,White,15,2020-04-05,0,3.5
Census Tract,18097310104,White,16,2020-04-12,0,2
Census Tract,18097310104,White,17,2020-04-19,0,1.25
Census Tract,18097310104,White,18,2020-04-26,0,0.25
Census Tract,18097310104,White,19,2020-05-03,0,0
Census Tract,18097310104,White,20,2020-05-10,0,2
Census Tract,18097310104,White,21,2020-05-17,0,2.75
Census Tract,18097310104,White,22,2020-05-24,0,0
Census Tract,18097310104,White,23,2020-05-31,1,0.25
Census Tract,18097310104,White,24,2020-06-07,0,0.75
Census Tract,18097310104,White,25,2020-06-14,0,2.5
Census Tract,18097310104,White,26,2020-06-21,0,1.25
Census Tract,18097310104,White,27,2020-06-28,0,0
Census Tract,18097310104,White,28,2020-07-05,0,1.75
Census Tract,18097310104,White,29,2020-07-12,0,1.25
Census Tract,18097310104,White,30,2020-07-19,0,2.75
Census Tract,18097310104,White,31,2020-07-26,0,1.5
Census Tract,18097310104,White,32,2020-08-02,0,0.5
Census Tract,18097310104,White,33,2020-08-09,0,1.25
Census Tract,18097310104,White,34,2020-08-16,0,2.25
Census Tract,18097310104,White,35,2020-08-23,3,0.5
Census Tract,18097310104,White,36,2020-08-30,0,0
Census Tract,18097310104,White,37,2020-09-06,0,0.5
Census Tract,18097310104,White,38,2020-09-13,1,2
Census Tract,18097310104,White,39,2020-09-20,1,0.75
Census Tract,18097310104,White,40,2020-09-27,0,0
Census Tract,18097310104,White,41,2020-10-04,0,0
Census Tract,18097310104,White,42,2020-10-11,2,2.75
Census Tract,18097310104,White,43,2020-10-18,1,1.5
Census Tract,18097310105,Other,1,2019-12-29,0,0.75
Census Tract,18097310105,Other,2,2020-01-05,1,0.25
