GEOID.Tract
12099000102
12099000103
12099000104
12099000202
12099000204
12099000208
12099000210
12099000211
12099000213
12099000214
12099000216
12099000217
12099000218
12099000219
12099000220
12099000221
12099000222
12099000223
12099000301
12099000303
12099000304
12099000405
12099000406
12099000407
12099000408
12099000410
12099000505
12099000507
12099000509
12099000512
12099000513
12099000600
12099000702
12099000703
12099000803
12099000805
12099000902
12099000903
12099000904
12099000905
12099001002
12099001003
12099001004
12099001101
12099001102
12099001200
12099001301
12099001302
12099001402
12099001403
12099001404
12099001500
12099001600
12099001700
12099001801
12099001802
12099001904
12099001907
12099001909
12099001910
12099001911
12099001912
12099001913
12099001916
12099001917
12099001918
12099001919
12099001920
12099001921
12099002005
12099002006
12099002100
12099002200
12099002300
12099002400
12099002600
12099002701
12099002702
12099002703
12099002800
12099002900
12099003000
12099003101
12099003102
12099003201
12099003202
12099003300
12099003400
12099003507
12099003512
12099003513
12099003514
12099003600
12099003700
12099003801
12099003802
12099003901
12099003902
12099004005
12099004007
12099004008
12099004009
12099004010
12099004011
12099004012
12099004013
12099004101
12099004102
12099004203
12099004204
12099004205
12099004206
12099004207
12099004300
12099004401
12099004402
12099004500
12099004601
12099004602
12099004702
12099004704
12099004705
12099004706
12099004810
12099004813
12099004815
12099004816
12099004817
12099004818
12099004819
12099004820
12099004821
12099004822
12099004823
12099004902
12099004903
12099004904
12099005000
12099005101
12099005102
12099005202
12099005203
12099005204
12099005300
12099005411
12099005412
12099005413
12099005501
12099005502
12099005601
12099005602
12099005702
12099005703
12099005704
12099005807
12099005810
12099005811
12099005812
12099005813
12099005814
12099005815
12099005818
12099005819
12099005820
12099005821
12099005916
12099005917
12099005918
12099005921
12099005922
12099005923
12099005926
12099005930
12099005931
12099005933
12099005934
12099005936
12099005937
12099005938
12099005939
12099005940
12099005942
12099005943
12099005944
12099005945
12099005946
12099005947
12099005949
12099005950
12099005951
12099005952
12099005953
12099005954
12099005955
12099005957
12099005958
12099005959
12099005960
12099005961
12099006005
12099006006
12099006007
12099006008
12099006009
12099006010
12099006011
12099006012
12099006100
12099006201
12099006202
12099006203
12099006301
12099006302
12099006401
12099006402
12099006501
12099006502
12099006602
12099006604
12099006606
12099006607
12099006700
12099006801
12099006802
12099006906
12099006907
12099006908
12099006909
12099006910
12099006911
12099006912
12099007005
12099007006
12099007007
12099007008
12099007009
12099007010
12099007011
12099007012
12099007013
12099007100
12099007202
12099007204
12099007205
12099007206
12099007207
12099007208
12099007301
12099007302
12099007407
12099007410
12099007412
12099007414
12099007420
12099007421
12099007501
12099007504
12099007505
12099007603
12099007604
12099007605
12099007610
12099007612
12099007613
12099007614
12099007615
12099007616
12099007619
12099007620
12099007621
12099007622
12099007623
12099007624
12099007705
12099007710
12099007716
12099007721
12099007723
12099007724
12099007725
12099007730
12099007731
12099007732
12099007735
12099007736
12099007738
12099007739
12099007740
12099007741
12099007742
12099007743
12099007746
12099007747
12099007748
12099007749
12099007750
12099007751
12099007752
12099007754
12099007757
12099007758
12099007759
12099007763
12099007764
12099007766
12099007767
12099007768
12099007769
12099007770
12099007771
12099007772
12099007773
12099007774
12099007775
12099007776
12099007777
12099007778
12099007779
12099007780
12099007805
12099007812
12099007813
12099007814
12099007818
12099007820
12099007821
12099007823
12099007830
12099007831
12099007832
12099007833
12099007834
12099007835
12099007837
12099007838
12099007840
12099007841
12099007842
12099007843
12099007844
12099007845
12099007846
12099007847
12099007848
12099007849
12099007850
12099007851
12099007852
12099007853
12099007909
12099007913
12099007914
12099007915
12099007916
12099007917
12099007918
12099007919
12099008001
12099008002
12099008101
12099008102
12099008201
12099008202
12099008203
12099008301
12099008302
12099980000
12099980100
12099980200
12099980400
12099980500
12099990000
12099990100
sealed
