site,serial_rate,threatened_hhs
fortlauderdale,0.16809847416335427,15598
gainesville,0.06552962298025135,2228
indiana,0.17149491582554635,53401
indianapolis,0.19512066603435557,18978
southbend,0.19512066603435557,18978
lasvegas,0.29350765199453627,35873
miami,0.12660098522167487,16240
missouri,0.18163245451892207,30837
stlouis,0.2015,20000
kansascity,0.2015,20000
nashville,0.15187733912833515,8283
newmexico,0.21207751239296985,11095
albuquerque,0.25673534072900156,6941
orlando,0.10727550797465588,22885
palmbeach,0.1332232664465329,7874
pittsburgh,0.06487662191554788,26666
charleston,0.35488202570496835,5213
cincinnati,0.25417401223685576,9643
cleveland,0.1634182908545727,4002
columbus,0.20680272108843537,735
dallas,0.25210936820435503,34489
delaware,0.33354106942540196,8023
wilmington,0.3300275482093664,5445
fortworth,0.2921642401439555,6113
houston,0.2231842231842232,2079
greenville,0.32612383375742154,4716
jacksonville,0.06288242492704509,10623
boston,0.11412069308902607,5021
massachusetts,0.11412069308902607,5021
memphis,0.2707657055566164,15711
minnesota,0.11445074339501551,9349
minneapolis,0.11751196172248804,5225
neworleans,0.1973010702652397,2149
philadelphia,0.1372632656543252,11722
phoenix,0.2122560549233997,47193
tampa,0.09235315847801996,2707
rhode_island,0.20258431887866843,4566
providence,0.1955962253360023,3497
wisconsin,0.15146579804560262,19034
milwaukee,0.18209622397365016,8501
